Date,Class,7th and Park Campus,7th underpass,7th underpass Pedestrians,7th underpass Cyclists,Bline Convention Cntr,Pedestrians,Cyclists,Jordan and 7th,N College and RR,S Walnut and Wylie
"Wed, Feb 1, 2017",1,186,221,155,66,688,490,198,150,14,17
"Thu, Feb 2, 2017",1,194,166,98,68,676,450,226,138,10,12
"Fri, Feb 3, 2017",1,147,200,142,58,603,399,204,126,11,12
"Sat, Feb 4, 2017",0,58,106,39,67,747,491,256,49,17,9
"Sun, Feb 5, 2017",0,73,94,43,51,905,681,224,82,17,12
"Mon, Feb 6, 2017",1,191,211,140,71,782,524,258,158,10,13
"Tue, Feb 7, 2017",1,171,172,109,63,714,515,199,112,5,12
"Wed, Feb 8, 2017",1,194,133,79,54,613,422,191,141,6,14
"Thu, Feb 9, 2017",1,167,132,81,51,534,351,183,122,6,15
"Fri, Feb 10, 2017",1,166,185,98,87,974,702,272,138,15,11
"Sat, Feb 11, 2017",0,109,152,87,65,1543,1030,513,83,18,11
"Sun, Feb 12, 2017",0,88,131,67,64,1178,863,315,72,15,8
"Mon, Feb 13, 2017",1,239,158,75,83,991,692,299,186,16,19
"Tue, Feb 14, 2017",1,268,180,96,84,1029,641,388,182,11,13
"Wed, Feb 15, 2017",1,237,172,94,78,851,558,293,191,15,13
"Thu, Feb 16, 2017",1,243,314,216,98,850,592,258,174,13,8
"Fri, Feb 17, 2017",1,275,262,147,115,1601,1042,559,173,27,14
"Sat, Feb 18, 2017",0,148,160,72,88,1744,1144,600,83,24,10
"Sun, Feb 19, 2017",0,113,213,81,132,1854,1234,620,123,24,5
"Mon, Feb 20, 2017",1,297,245,117,128,1716,1084,632,246,30,17
"Tue, Feb 21, 2017",1,293,219,110,109,956,638,318,188,17,9
"Wed, Feb 22, 2017",1,334,221,99,122,1419,893,526,281,23,12
"Thu, Feb 23, 2017",1,348,228,98,130,1477,897,580,253,32,12
"Fri, Feb 24, 2017",1,247,169,84,85,1109,635,474,174,25,13
"Sat, Feb 25, 2017",0,60,56,33,23,524,358,166,42,10,4
"Sun, Feb 26, 2017",0,83,92,45,47,810,596,214,72,19,8
"Mon, Feb 27, 2017",1,253,185,96,89,951,593,358,204,16,8
"Tue, Feb 28, 2017",1,186,134,86,48,697,464,233,134,9,16
"Wed, Mar 1, 2017",1,215,132,58,74,653,463,190,165,13,5
"Thu, Mar 2, 2017",1,253,186,96,90,1025,709,316,176,16,10
"Fri, Mar 3, 2017",1,179,154,80,74,730,488,242,131,16,16
"Sat, Mar 4, 2017",0,106,165,71,94,1113,771,342,79,23,13
"Sun, Mar 5, 2017",0,157,169,71,98,1627,1039,588,112,26,15
"Mon, Mar 6, 2017",1,116,91,65,26,443,319,124,87,7,13
"Tue, Mar 7, 2017",1,238,140,86,54,940,642,298,150,13,11
"Wed, Mar 8, 2017",1,308,230,104,126,1248,787,461,213,25,13
"Thu, Mar 9, 2017",1,308,226,99,127,1340,831,509,216,23,12
"Fri, Mar 10, 2017",1,137,148,71,77,794,470,324,114,17,17
"Sat, Mar 11, 2017",0,35,63,34,29,582,424,158,24,9,7
"Sun, Mar 12, 2017",0,38,67,32,35,596,459,137,25,14,5
"Mon, Mar 13, 2017",0,42,74,24,50,382,250,132,21,2,4
"Tue, Mar 14, 2017",0,44,59,30,29,473,332,141,32,4,8
"Wed, Mar 15, 2017",0,47,67,35,32,545,374,171,43,6,8
"Thu, Mar 16, 2017",0,59,78,46,32,687,452,235,34,7,10
"Fri, Mar 17, 2017",0,44,82,47,35,501,341,160,31,7,9
"Sat, Mar 18, 2017",0,36,69,41,28,645,429,216,23,21,8
"Sun, Mar 19, 2017",0,62,115,52,63,1211,835,376,42,28,11
"Mon, Mar 20, 2017",1,211,175,93,82,984,671,313,186,12,20
"Tue, Mar 21, 2017",1,302,220,111,109,1289,827,462,245,35,16
"Wed, Mar 22, 2017",1,248,173,86,87,925,628,297,214,23,11
"Thu, Mar 23, 2017",1,276,199,101,98,1043,705,338,223,17,12
"Fri, Mar 24, 2017",1,320,216,92,124,1686,1086,600,204,24,11
"Sat, Mar 25, 2017",0,132,170,73,97,1398,895,503,88,23,17
"Sun, Mar 26, 2017",0,55,113,71,42,857,639,218,50,8,7
"Mon, Mar 27, 2017",1,214,198,97,101,979,672,307,162,11,12
"Tue, Mar 28, 2017",1,279,256,124,132,1226,833,393,217,27,18
"Wed, Mar 29, 2017",1,294,241,87,154,1425,946,479,258,28,23
"Thu, Mar 30, 2017",1,241,191,89,102,902,609,293,156,16,16
"Fri, Mar 31, 2017",1,233,162,73,89,788,518,270,137,15,9
"Sat, Apr 1, 2017",0,102,121,50,71,1291,907,384,99,32,10
"Sun, Apr 2, 2017",0,142,193,88,105,1622,1072,550,87,27,24
"Mon, Apr 3, 2017",1,258,198,120,78,983,668,315,196,22,10
"Tue, Apr 4, 2017",1,292,212,90,122,1399,919,480,220,40,22
"Wed, Apr 5, 2017",1,220,168,93,75,930,661,269,183,15,15
"Thu, Apr 6, 2017",1,200,125,79,46,593,397,196,138,12,5
"Fri, Apr 7, 2017",1,230,207,101,106,1213,807,406,153,29,15
"Sat, Apr 8, 2017",0,213,170,75,95,1996,1276,720,110,32,17
"Sun, Apr 9, 2017",0,172,171,68,103,1999,1260,739,131,22,12
"Mon, Apr 10, 2017",1,379,283,119,164,1519,935,584,230,28,22
"Tue, Apr 11, 2017",1,319,245,116,129,1504,906,598,258,28,22
"Wed, Apr 12, 2017",1,419,310,126,184,1838,1141,697,281,32,20
"Thu, Apr 13, 2017",1,426,319,138,181,1951,1229,722,269,25,20
"Fri, Apr 14, 2017",1,363,261,112,149,1602,925,677,242,34,16
"Sat, Apr 15, 2017",0,237,173,62,111,2294,1293,1001,118,37,15
"Sun, Apr 16, 2017",0,81,158,89,69,1029,611,418,63,14,16
"Mon, Apr 17, 2017",1,388,325,107,218,1679,1056,623,312,20,12
"Tue, Apr 18, 2017",1,397,320,133,187,1733,1045,688,293,35,17
"Wed, Apr 19, 2017",1,391,267,100,167,1715,1014,701,314,37,18
"Thu, Apr 20, 2017",1,295,226,97,129,1156,677,479,255,23,11
"Fri, Apr 21, 2017",1,267,196,80,116,1013,601,412,171,34,17
"Sat, Apr 22, 2017",0,103,161,115,46,1064,707,357,67,29,11
"Sun, Apr 23, 2017",0,170,177,83,94,1891,1182,709,98,46,15
"Mon, Apr 24, 2017",1,375,301,123,178,1996,1253,743,256,32,20
"Tue, Apr 25, 2017",1,377,323,136,187,1790,1060,730,266,35,17
"Wed, Apr 26, 2017",1,420,318,104,214,1794,1064,730,288,37,13
"Thu, Apr 27, 2017",1,306,175,72,103,1030,633,397,219,28,14
"Fri, Apr 28, 2017",1,199,163,79,84,761,463,298,136,21,12
"Sat, Apr 29, 2017",0,103,137,79,58,1314,870,444,77,21,8
"Sun, Apr 30, 2017",0,38,54,31,23,545,378,167,47,9,10
"Mon, May 1, 2017",1,232,194,73,121,971,613,358,162,27,7
"Tue, May 2, 2017",1,293,261,103,158,1473,901,572,187,29,18
"Wed, May 3, 2017",1,173,162,79,83,771,468,303,111,18,16
"Thu, May 4, 2017",1,63,53,37,16,294,202,92,51,7,14
"Fri, May 5, 2017",1,75,88,56,32,602,419,183,56,8,18
"Sat, May 6, 2017",0,85,141,61,80,1262,875,387,40,24,9
"Sun, May 7, 2017",0,96,195,73,122,1621,1077,544,58,24,19
"Mon, May 8, 2017",1,179,220,95,125,1345,820,525,110,26,24
"Tue, May 9, 2017",1,197,184,75,109,1386,907,479,115,24,21
"Wed, May 10, 2017",1,225,212,86,126,1535,894,641,139,32,23
"Thu, May 11, 2017",1,137,131,54,77,830,513,317,85,10,10
"Fri, May 12, 2017",1,192,205,72,133,1330,780,550,111,26,25
"Sat, May 13, 2017",0,116,166,59,107,1951,1073,878,55,30,12
"Sun, May 14, 2017",0,71,145,58,87,1370,710,660,57,31,16
"Mon, May 15, 2017",1,228,221,89,132,1585,878,707,135,29,14
"Tue, May 16, 2017",1,227,251,79,172,1536,858,678,122,43,17
"Wed, May 17, 2017",1,273,287,97,190,1500,792,708,133,30,24
"Thu, May 18, 2017",1,213,194,60,134,1196,666,530,128,29,29
"Fri, May 19, 2017",1,184,189,71,118,1206,652,554,76,23,25
"Sat, May 20, 2017",0,67,93,48,45,986,618,368,22,17,10
"Sun, May 21, 2017",0,88,123,44,79,1574,910,664,64,38,9
"Mon, May 22, 2017",1,242,244,80,164,1801,1058,743,129,38,23
"Tue, May 23, 2017",1,263,236,82,154,1703,971,732,117,45,27
"Wed, May 24, 2017",1,84,97,51,46,618,415,203,46,13,9
"Thu, May 25, 2017",1,134,150,60,90,1065,653,412,80,21,20
"Fri, May 26, 2017",1,202,224,71,153,1533,830,703,84,37,24
"Sat, May 27, 2017",0,92,184,63,121,1755,988,767,55,34,16
"Sun, May 28, 2017",0,66,138,53,85,1283,727,556,42,18,16
"Mon, May 29, 2017",0,97,195,81,114,1747,906,841,59,27,12
"Tue, May 30, 2017",1,245,238,59,179,1678,907,771,135,32,15
"Wed, May 31, 2017",1,286,223,78,145,1688,926,762,100,39,29
"Thu, Jun 1, 2017",1,249,221,75,146,1683,941,742,136,46,28
"Fri, Jun 2, 2017",1,230,215,57,158,1696,930,766,117,32,27
"Sat, Jun 3, 2017",0,117,237,111,126,1814,1007,807,56,38,17
"Sun, Jun 4, 2017",0,102,118,47,71,1364,727,637,76,37,21
"Mon, Jun 5, 2017",1,239,215,95,120,1464,815,649,131,34,33
"Tue, Jun 6, 2017",1,270,289,110,179,1785,977,808,143,46,26
"Wed, Jun 7, 2017",1,251,266,109,157,1681,951,730,118,37,17
"Thu, Jun 8, 2017",1,262,238,84,154,1767,957,810,146,48,21
"Fri, Jun 9, 2017",1,220,232,82,150,1518,785,733,99,31,18
"Sat, Jun 10, 2017",0,100,148,49,99,1912,961,951,63,34,14
"Sun, Jun 11, 2017",0,112,159,54,105,1285,648,637,67,22,18
"Mon, Jun 12, 2017",1,257,174,49,125,1282,666,616,140,35,15
"Tue, Jun 13, 2017",1,204,198,79,119,1136,599,537,122,26,21
"Wed, Jun 14, 2017",1,195,181,68,113,1076,553,523,116,23,24
"Thu, Jun 15, 2017",1,191,206,110,96,1421,781,640,164,25,20
"Fri, Jun 16, 2017",1,213,188,67,121,1350,709,641,111,25,22
"Sat, Jun 17, 2017",0,129,133,37,96,1756,944,812,79,32,20
"Sun, Jun 18, 2017",0,78,152,50,102,1157,583,574,47,27,20
"Mon, Jun 19, 2017",1,253,247,76,171,1634,894,740,139,36,22
"Tue, Jun 20, 2017",1,256,199,58,141,1544,829,715,158,31,18
"Wed, Jun 21, 2017",1,250,210,89,121,1511,786,725,177,38,18
"Thu, Jun 22, 2017",1,187,165,69,96,1055,543,512,150,25,21
"Fri, Jun 23, 2017",1,76,92,58,34,640,408,232,46,12,18
"Sat, Jun 24, 2017",0,143,252,153,99,2041,1080,961,83,37,21
"Sun, Jun 25, 2017",0,109,181,49,132,1624,849,775,75,40,15
"Mon, Jun 26, 2017",1,229,518,385,133,1178,441,737,167,34,26
"Tue, Jun 27, 2017",1,253,382,195,187,1561,835,726,175,33,25
"Wed, Jun 28, 2017",1,285,651,497,154,1601,837,764,153,39,25
"Thu, Jun 29, 2017",1,231,230,89,141,1435,736,699,132,29,30
"Fri, Jun 30, 2017",1,137,169,71,98,962,479,483,88,21,23
"Sat, Jul 1, 2017",0,115,124,36,88,1562,823,739,68,27,18
"Sun, Jul 2, 2017",0,91,156,32,124,1297,677,620,54,37,20
"Mon, Jul 3, 2017",1,165,173,36,137,1315,668,647,112,21,26
"Tue, Jul 4, 2017",0,94,173,67,106,1314,641,673,66,23,16
"Wed, Jul 5, 2017",1,194,211,77,134,1225,603,622,151,34,17
"Thu, Jul 6, 2017",1,170,146,55,91,1080,607,473,110,25,14
"Fri, Jul 7, 2017",1,175,179,57,122,1109,527,582,104,16,9
"Sat, Jul 8, 2017",0,103,165,60,105,1958,1010,948,54,39,22
"Sun, Jul 9, 2017",0,113,161,72,89,1386,732,654,59,26,27
"Mon, Jul 10, 2017",1,207,164,47,117,1396,743,653,159,29,30
"Tue, Jul 11, 2017",1,120,144,72,72,970,603,367,79,14,16
"Wed, Jul 12, 2017",1,237,209,56,153,1239,570,669,135,31,23
"Thu, Jul 13, 2017",1,190,128,40,88,1104,580,524,93,27,24
"Fri, Jul 14, 2017",1,200,184,52,132,1365,679,686,119,35,23
"Sat, Jul 15, 2017",0,120,154,52,102,1815,940,875,82,29,22
"Sun, Jul 16, 2017",0,111,161,59,102,1307,633,674,52,32,12
"Mon, Jul 17, 2017",1,230,175,59,116,1419,734,685,143,32,27
"Tue, Jul 18, 2017",1,219,224,69,155,1390,674,716,137,33,14
"Wed, Jul 19, 2017",1,198,175,56,119,1407,690,717,122,35,16
"Thu, Jul 20, 2017",1,178,172,46,126,1278,621,657,106,26,21
"Fri, Jul 21, 2017",1,151,182,59,123,1089,504,585,99,25,24
"Sat, Jul 22, 2017",0,67,112,29,83,1069,483,586,54,17,10
"Sun, Jul 23, 2017",0,48,61,28,33,819,411,408,36,22,8
"Mon, Jul 24, 2017",1,181,193,57,136,1433,716,717,135,31,21
"Tue, Jul 25, 2017",1,170,218,80,138,1563,762,801,146,33,24
"Wed, Jul 26, 2017",1,179,192,61,131,1367,719,648,132,30,21
"Thu, Jul 27, 2017",1,102,118,40,78,945,548,397,80,18,18
"Fri, Jul 28, 2017",1,144,187,56,131,1315,663,652,98,33,26
"Sat, Jul 29, 2017",0,101,196,90,106,1912,962,950,67,37,12
"Sun, Jul 30, 2017",0,88,112,30,82,1193,560,633,59,36,17
"Mon, Jul 31, 2017",1,166,188,50,138,1318,635,683,104,29,17
"Tue, Aug 1, 2017",1,157,183,50,133,1331,721,610,98,34,22
"Wed, Aug 2, 2017",1,192,168,47,121,1385,726,659,93,29,21
"Thu, Aug 3, 2017",1,179,179,34,145,1356,686,670,92,34,20
"Fri, Aug 4, 2017",1,177,206,68,138,1432,776,656,95,33,23
"Sat, Aug 5, 2017",0,120,218,68,150,1933,1011,922,86,42,14
"Sun, Aug 6, 2017",0,57,100,46,54,883,498,385,46,27,12
"Mon, Aug 7, 2017",1,174,169,68,101,1375,821,554,126,20,16
"Tue, Aug 8, 2017",1,212,247,87,160,1507,820,687,148,35,27
"Wed, Aug 9, 2017",1,236,254,72,182,1567,815,752,147,32,16
"Thu, Aug 10, 2017",1,224,202,61,141,1435,782,653,156,38,19
"Fri, Aug 11, 2017",1,212,167,44,123,1215,667,548,126,25,22
"Sat, Aug 12, 2017",0,126,232,82,150,2012,1049,963,104,46,19
"Sun, Aug 13, 2017",0,150,203,80,123,1585,808,777,100,28,14
"Mon, Aug 14, 2017",1,367,245,81,164,1548,785,763,222,39,20
"Tue, Aug 15, 2017",1,321,255,101,154,1333,701,632,238,38,22
"Wed, Aug 16, 2017",1,319,247,63,184,1383,688,695,252,52,27
"Thu, Aug 17, 2017",1,320,203,61,142,1193,631,562,320,44,30
"Fri, Aug 18, 2017",1,402,294,93,201,1493,725,768,430,49,24
"Sat, Aug 19, 2017",0,266,241,94,147,1910,967,943,207,41,26
"Sun, Aug 20, 2017",0,195,181,48,133,1296,658,638,290,31,17
"Mon, Aug 21, 2017",1,644,290,86,204,1187,566,621,748,35,26
"Tue, Aug 22, 2017",1,581,276,92,184,2395,1742,653,649,47,22
"Wed, Aug 23, 2017",1,642,389,123,266,1880,945,935,799,50,28
"Thu, Aug 24, 2017",1,652,383,91,292,1745,899,846,733,48,31
"Fri, Aug 25, 2017",1,547,355,114,241,1802,958,844,572,64,33
"Sat, Aug 26, 2017",0,243,263,95,168,2404,1335,1069,226,53,22
"Sun, Aug 27, 2017",0,250,230,68,162,1633,862,771,216,41,21
"Mon, Aug 28, 2017",1,90,336,122,214,1449,759,690,690,35,29
"Tue, Aug 29, 2017",1,582,289,110,179,1475,819,656,601,49,10
"Wed, Aug 30, 2017",1,655,365,120,245,1741,903,838,759,50,27
"Thu, Aug 31, 2017",1,630,335,96,239,1522,787,735,687,49,30
"Fri, Sep 1, 2017",1,306,177,59,118,856,482,374,375,29,15
"Sat, Sep 2, 2017",0,229,236,100,136,1891,1131,760,142,60,23
"Sun, Sep 3, 2017",0,202,225,70,155,1622,849,773,135,39,11
"Mon, Sep 4, 2017",0,204,223,80,143,1426,662,764,224,43,20
"Tue, Sep 5, 2017",1,658,392,133,259,1753,890,863,614,51,24
"Wed, Sep 6, 2017",1,594,353,125,228,1477,816,661,708,32,16
"Thu, Sep 7, 2017",1,647,374,125,249,1515,835,680,669,24,22
"Fri, Sep 8, 2017",1,502,322,105,217,1503,761,742,525,49,22
"Sat, Sep 9, 2017",0,258,259,100,159,2171,1175,996,204,65,16
"Sun, Sep 10, 2017",0,233,202,79,123,1578,957,621,192,26,19
"Mon, Sep 11, 2017",1,627,369,122,247,1503,822,681,616,38,25
"Tue, Sep 12, 2017",1,448,259,98,161,1117,653,464,445,31,18
"Wed, Sep 13, 2017",1,329,230,87,143,749,447,302,433,14,14
"Thu, Sep 14, 2017",1,544,332,102,230,1374,759,615,549,34,23
"Fri, Sep 15, 2017",1,481,334,103,231,1423,719,704,500,40,26
"Sat, Sep 16, 2017",0,235,219,76,143,1953,1066,887,146,40,24
"Sun, Sep 17, 2017",0,184,196,72,124,1444,777,667,184,25,26
"Mon, Sep 18, 2017",1,462,288,81,207,1209,659,550,591,35,36
"Tue, Sep 19, 2017",1,384,225,100,125,1127,659,468,431,23,29
"Wed, Sep 20, 2017",1,538,382,114,268,1166,599,567,635,34,24
"Thu, Sep 21, 2017",1,560,415,154,261,1260,629,631,565,37,31
"Fri, Sep 22, 2017",1,496,306,98,208,1267,616,651,464,36,25
"Sat, Sep 23, 2017",0,206,241,125,116,1614,834,780,160,38,23
"Sun, Sep 24, 2017",0,227,179,60,119,1349,621,728,152,42,18
"Mon, Sep 25, 2017",1,534,383,110,273,1394,692,702,631,46,27
"Tue, Sep 26, 2017",1,584,369,128,241,1317,647,670,538,44,23
"Wed, Sep 27, 2017",1,537,353,106,247,1437,758,679,651,37,23
"Thu, Sep 28, 2017",1,560,396,135,261,1734,1029,705,532,49,24
"Fri, Sep 29, 2017",1,460,325,111,214,1651,868,783,443,47,30
"Sat, Sep 30, 2017",0,226,270,91,179,2067,1166,901,166,49,21
"Sun, Oct 1, 2017",0,177,270,119,151,1449,848,601,164,54,17
"Mon, Oct 2, 2017",1,503,439,168,271,1573,804,769,598,40,32
"Tue, Oct 3, 2017",1,610,342,94,248,1394,769,625,544,51,28
"Wed, Oct 4, 2017",1,466,308,80,228,1279,665,614,523,31,27
"Thu, Oct 5, 2017",1,270,180,92,88,893,540,353,284,36,27
"Fri, Oct 6, 2017",1,293,281,89,192,1449,813,636,193,59,28
"Sat, Oct 7, 2017",0,166,164,61,103,1542,904,638,83,38,16
"Sun, Oct 8, 2017",0,94,115,45,70,869,576,293,93,28,12
"Mon, Oct 9, 2017",1,455,294,95,199,1280,686,594,549,24,19
"Tue, Oct 10, 2017",1,221,162,74,88,787,457,330,295,9,8
"Wed, Oct 11, 2017",1,412,289,93,196,944,558,386,488,23,24
"Thu, Oct 12, 2017",1,386,296,128,168,1010,541,469,375,19,20
"Fri, Oct 13, 2017",1,347,303,95,208,1412,756,656,433,35,29
"Sat, Oct 14, 2017",0,217,219,102,117,1699,990,709,186,31,14
"Sun, Oct 15, 2017",0,82,138,86,52,698,483,215,116,9,7
"Mon, Oct 16, 2017",1,429,308,106,202,1401,784,617,485,25,20
"Tue, Oct 17, 2017",1,447,331,116,215,1339,759,580,423,32,22
"Wed, Oct 18, 2017",1,431,406,176,230,1269,691,578,494,34,25
"Thu, Oct 19, 2017",1,523,342,105,237,1434,853,581,461,46,21
"Fri, Oct 20, 2017",1,399,313,114,199,1493,813,680,352,36,20
"Sat, Oct 21, 2017",0,182,213,84,129,1849,1031,818,140,51,18
"Sun, Oct 22, 2017",0,143,164,58,106,1297,785,512,119,25,26
"Mon, Oct 23, 2017",1,202,140,87,53,542,342,200,237,8,11
"Tue, Oct 24, 2017",1,371,211,82,129,895,528,367,355,20,13
"Wed, Oct 25, 2017",1,346,281,94,187,998,597,401,369,22,16
"Thu, Oct 26, 2017",1,387,292,104,188,1207,727,480,370,29,16
"Fri, Oct 27, 2017",1,180,151,60,91,593,361,232,190,10,22
"Sat, Oct 28, 2017",0,92,86,42,44,785,526,259,64,15,7
"Sun, Oct 29, 2017",0,95,129,59,70,696,494,202,79,13,19
"Mon, Oct 30, 2017",1,250,208,99,109,625,376,249,252,13,28
"Tue, Oct 31, 2017",1,330,218,85,133,858,519,339,335,24,20
"Wed, Nov 1, 2017",1,176,148,75,73,434,260,174,176,5,14
"Thu, Nov 2, 2017",1,328,222,105,117,1047,648,399,321,21,14
"Fri, Nov 3, 2017",1,314,264,102,162,1286,801,485,289,38,18
"Sat, Nov 4, 2017",0,92,158,94,64,1074,672,402,81,26,15
"Sun, Nov 5, 2017",0,37,95,57,38,687,465,222,67,9,9
"Mon, Nov 6, 2017",1,323,232,90,142,973,620,353,322,17,17
"Tue, Nov 7, 2017",1,292,194,90,104,888,528,360,285,8,22
"Wed, Nov 8, 2017",1,339,279,108,171,1045,654,391,359,18,13
"Thu, Nov 9, 2017",1,357,233,102,131,997,628,369,298,25,16
"Fri, Nov 10, 2017",1,207,181,73,108,727,444,283,246,10,15
"Sat, Nov 11, 2017",0,102,144,81,63,996,717,279,70,23,12
"Sun, Nov 12, 2017",0,52,55,29,26,472,355,117,54,8,15
"Mon, Nov 13, 2017",1,287,235,115,120,830,516,314,334,14,19
"Tue, Nov 14, 2017",1,338,254,114,140,983,614,369,335,18,17
"Wed, Nov 15, 2017",1,131,134,74,60,398,221,177,132,9,17
"Thu, Nov 16, 2017",1,314,178,62,116,776,441,335,252,18,15
"Fri, Nov 17, 2017",1,202,175,65,110,763,453,310,176,18,17
"Sat, Nov 18, 2017",0,24,44,32,12,501,369,132,15,0,7
"Sun, Nov 19, 2017",0,32,60,27,33,495,360,135,16,5,10
"Mon, Nov 20, 2017",1,60,100,37,63,710,465,245,30,4,10
"Tue, Nov 21, 2017",1,60,89,34,55,686,450,236,38,7,12
"Wed, Nov 22, 2017",0,44,74,37,37,599,390,209,17,2,18
"Thu, Nov 23, 2017",0,18,65,51,14,412,300,112,11,1,5
"Fri, Nov 24, 2017",0,33,73,35,38,790,512,278,18,7,11
"Sat, Nov 25, 2017",0,54,103,46,57,949,644,305,24,3,18
"Sun, Nov 26, 2017",0,79,187,129,58,824,535,289,52,4,11
"Mon, Nov 27, 2017",1,313,266,106,160,1134,699,435,318,1,14
"Tue, Nov 28, 2017",1,355,246,94,152,1158,668,490,340,5,16
"Wed, Nov 29, 2017",1,346,279,109,170,970,615,355,329,9,20
"Thu, Nov 30, 2017",1,214,152,67,85,729,483,246,194,10,12
"Fri, Dec 1, 2017",1,271,205,64,141,857,538,319,177,9,22
"Sat, Dec 2, 2017",0,113,167,82,85,1229,805,424,87,12,13
"Sun, Dec 3, 2017",0,125,130,54,76,1031,655,376,82,14,13
"Mon, Dec 4, 2017",1,300,285,119,166,1009,621,388,297,7,21
"Tue, Dec 5, 2017",1,260,164,52,112,638,390,248,253,8,13
"Wed, Dec 6, 2017",1,261,213,83,130,789,490,299,267,8,15
"Thu, Dec 7, 2017",1,212,144,59,85,572,329,243,216,14,15
"Fri, Dec 8, 2017",1,152,146,67,79,577,354,223,172,7,15
"Sat, Dec 9, 2017",0,48,71,47,24,522,378,144,39,3,6
"Sun, Dec 10, 2017",0,53,83,46,37,472,335,137,42,5,4
"Mon, Dec 11, 2017",1,149,172,90,82,728,433,295,170,7,18
"Tue, Dec 12, 2017",1,118,127,58,69,512,300,212,127,8,15
"Wed, Dec 13, 2017",1,152,104,35,69,548,367,181,133,6,14
"Thu, Dec 14, 2017",1,136,113,53,60,554,346,208,102,5,16
"Fri, Dec 15, 2017",1,118,103,45,58,495,288,207,92,4,15
"Sat, Dec 16, 2017",0,57,75,36,39,688,443,245,16,9,11
"Sun, Dec 17, 2017",0,25,64,46,18,420,282,138,8,5,8
"Mon, Dec 18, 2017",0,73,91,49,42,550,355,195,28,6,6
"Tue, Dec 19, 2017",0,73,120,52,68,645,407,238,37,13,9
"Wed, Dec 20, 2017",0,52,109,48,61,717,457,260,25,14,16
"Thu, Dec 21, 2017",0,61,117,51,66,721,495,226,28,8,10
"Fri, Dec 22, 2017",0,23,67,41,26,452,326,126,13,8,9
"Sat, Dec 23, 2017",0,10,12,5,7,288,223,65,3,2,3
"Sun, Dec 24, 2017",0,5,18,13,5,381,286,95,2,4,2
"Mon, Dec 25, 2017",0,2,20,17,3,125,101,24,0,0,3
"Tue, Dec 26, 2017",0,13,16,11,5,216,160,56,9,5,5
"Wed, Dec 27, 2017",0,12,21,6,15,181,118,63,11,5,14
"Thu, Dec 28, 2017",0,17,30,19,11,337,257,80,8,8,8
"Fri, Dec 29, 2017",0,11,28,20,8,295,208,87,11,10,13
"Sat, Dec 30, 2017",0,9,23,19,4,212,164,48,4,5,6
"Sun, Dec 31, 2017",0,2,24,19,5,165,127,38,0,4,0